login,outside_collaborator
bfk,FALSE
pidster,FALSE
njd,FALSE
khalcrow,FALSE
philbarton,FALSE
alexwakeman,FALSE
sim-barnes,FALSE
c4seyla,FALSE
shahnaazr,FALSE
krudland1978,FALSE
HODavidEdwards,FALSE
simonwatsonkainos,FALSE
msjhall138,FALSE
adriandurran,FALSE
rgovardh,FALSE
KashifSaadat,FALSE
tummurur,FALSE
jflm,FALSE
Ben-UK,FALSE
tummap,FALSE
ShahSheel,FALSE
markwimpory,FALSE
andyw324,FALSE
suthagarht,FALSE
monotiller,FALSE
christaylor-hod,FALSE
MSBennett4,FALSE
bkopic-HO,FALSE
paulegeland,FALSE
willhiorns,FALSE
SvetlaVerma,FALSE
Ed-Sib,FALSE
Bracktus,FALSE
jbradleyshaw,FALSE
Getgoods200,FALSE
Jamestravers,FALSE
DragosIlies,FALSE
biswash-gurung,FALSE
agraham19,FALSE
tuxops,FALSE
elliotjberg,FALSE
SBriscoe2,FALSE
CatherineHillier,FALSE
catherine-nakka,FALSE
nzorba,FALSE
kiran2k-devops,FALSE
KBaker90,FALSE
michal-ko,FALSE
al01010,FALSE
noviksr,FALSE
dmoore04,FALSE
proving-things-drone,FALSE
P-A-8,FALSE
sidaker,FALSE
igeogit,FALSE
charsides,FALSE
chpoullet,FALSE
acp-ukhomeoffice-ci,FALSE
ramalisbx,FALSE
PhilDavies7,FALSE
atulpatilqat,FALSE
UMahmood2,FALSE
rhirani1,FALSE
sohaibsohail98,FALSE
sonloi,FALSE
XantheJackson,FALSE
John-Hanks,FALSE
DanielJagger,FALSE
Conar-Ramsey-HO,FALSE
elizabeth-nicholl,FALSE
PaulB-DevOps,FALSE
fcorcoran,FALSE
carmeloMdho,FALSE
walsterc,FALSE
john-wilkinson6969,FALSE
hassan-ahmed-al-zz,FALSE
Ahhhh-man,FALSE
beng98,FALSE
krystanhoffice,FALSE
jrshetty,FALSE
steveherronNCC,FALSE
ashley-bickerstaff-homeoffice,FALSE
ah20211203,FALSE
GiedriusPadimanskas,FALSE
nbarnes942,FALSE
bricecap,FALSE
mueed-s,FALSE
saimrafiq1,FALSE
raymondmo-ho,FALSE
SakisSouliotis,FALSE
jamiesf,FALSE
RajuVora,FALSE
sbanys,FALSE
LaurencePiercy,FALSE
chrismanning-gov,FALSE
SORePort,FALSE
RobertKoakHO,FALSE
muazranaibm,FALSE
sathikmadetech,FALSE
AlastairHolland99,FALSE
KW-89,FALSE
oliver-houston,FALSE
craigjolley,FALSE
ChhayaSikheriaHomeoffice,FALSE
ramakrishnamakineni,FALSE
sangeetkp,FALSE
simonhargreavesho,FALSE
elliot-nicklin,FALSE
leighkirkho,FALSE
a-anantharaman,FALSE
7.26964E+13,FALSE
shireshakanuri,FALSE
narenderdigital,FALSE
muldoop,FALSE
lalkhumcodes,FALSE
alexislignereux,FALSE
TWoodACP,FALSE
abishake-ratnavel,FALSE
Megancassidy03,FALSE
rajyeeda,FALSE
roc,TRUE
shabe,TRUE
davidanthonywilcox,TRUE
Tanhauser,TRUE
Coupey,TRUE
t2tre,TRUE
kpaludan,TRUE
bruce-hartley,TRUE
shepda,TRUE
RobinKnipe,TRUE
damoheavern,TRUE
Abdul2,TRUE
spr06,TRUE
harishanmugam,TRUE
maxinedivers,TRUE
kriscov-ibm,TRUE
james-bjss,TRUE
beadlea,TRUE
ukhomeoffice-bot,TRUE
amyeverett1,TRUE
rasearle,TRUE
JBragg28,TRUE
JosephHardy,TRUE
jaynqac,TRUE
lees5,TRUE
russellknox84,TRUE
Oliver-Mitchell-CIC-UK,TRUE
SimonMooreCIC,TRUE
Dcas8595,TRUE
DHermosa,TRUE
jmcdowell-ho,TRUE
johndennettad186,TRUE
Martin-Jordan-66,TRUE
civicatushar,TRUE
Vee1972,TRUE
geotechfirst,TRUE
DamonWright101,TRUE
RossGower,TRUE
ildrinn,TRUE
walton-io,TRUE
jasonp1-ibm,TRUE
DanHamCIC,TRUE
sahmed-cic,TRUE
muazrana95,TRUE
UCD-Operations,TRUE
JBJamesBrownJB,TRUE
richardaharris,TRUE
phinterseer,TRUE
KLV96,TRUE
fern-leigh-zz,TRUE
Adam-Gunning,TRUE
virtueho,TRUE
risualjay,TRUE
CalebJones11,TRUE
mejcrowder,TRUE
paulasiemek,TRUE
anjeleepadayachyHO,TRUE
